1	Porto Velho		36660-000	Alem Paraiba	07.866.806/0001-06	Rafael 	Av Dr Antonio Augusto Junqueira 25	MG	0	015 999 380 0021	Agropec Prod Agricolas e Vet de Alem Paraiba Ltda	(32) 3462-5502
2	Centro		36660-000	Alem Paraiba	05.019.867/0001-02		Av José Teixeira Rios 84	MG	0	015 177 379 0089	Carlos Frederico Pereira França	(32) 3466-0546
3	N S Amparo	(  ) 9996-7369	27385-020	Amparo 	68.663.848/0001-34	Miguel	R Ismael Penha Vilela 41	RJ	0	84 691 364	Com Produtos Agropecuarios Amparense Ltda	(24) 3389-1153
4	Centro		23900-000	Angra dos Reis	03.905.012/0001-53	Alessandra	Rua Teixeira Brandão 120	RJ	0	76 200 955	Alessandra H Stevanato Dobler	(24) 3367-2355
5	Japuiba		23900-000	Angra dos Reis	02.922.287/0001-32	Antonio / Tania	Itaperuna 46	RJ	0	78 239 360	Antonio de Lima Campos Rações Ltda	(24) 3367-1017
6	Japuiba		23900-000	Angra dos Reis	07.289.992/0001-68	Jorge/ Fatima	Rua Prefeito João Gregorio Galindo 78	RJ	0	77 890 408	Jorge V L de Lima Casa de Ração	(24) 3377-5384
7	Japuiba		23934-545	Angra dos Reis	07.709.037/0001-32	Cristiano	Rua Prefeito João Gregorio Galindo 03	RJ	0	78 047 739	Ronycelia de Sousa Duarte	(24) 3365-8821
8	Centro		12570-000	Aparecida	02.580.771/0001-20	Romaim	Rua Valerio Francisco 161	SP	0	174 075 557 115	Alexandre de Paula Romaim Me	(12) 3105-8486
9	Itaguaçu		12570-000	Aparecida	61.921.334/0001-92	Antonio	Itapetininga 585	SP	0	174 058 810 112	Antonio Ribeiro Rações Me	(12) 3105-1948
10	Aroeira	(12) 9155-5239	12570-000	Aparecida	05.487.561/0001-80	Douglas	Av Padroeira de Brasil 820	SP	0	174 141 833 119	Douglas G M R Pereira Me	
11	Centro		12570-000	Aparecida	00.932.212/0001-07	José Roberto	Rua Valerio Francisco 183	SP	0	174 144 920 118	R de Paula Romaim	(12) 3105-2568
12	Santa Rita   	(12) 3105-2319	12570-000	Aparecida	08.715.366/0001-59	Alvaro	R Santa Rita 326	SP	0	174 150 210 117	Supermercado Leão Ribeiro Ltda	(12) 3105-2765
13	Ponte Alta		12570-000	Aparecida	08.715.366/0002-30	Alvaro	Rua Totó Barbosa 35	SP	0	174 150 239 119	Supermercado Leão Ribeiro Ltda	(12) 3105-5755
14	Centro		12870-000	Arapeí 	04.408.042/0001-85	Jaqueline	Av Sebastião Angelo da Costa 214	SP	0	735 051 726 117	A J G de Souza Me	(12) 3115-1334
15	Centro		25845-000	Areal	04.535.594/0001-96	Marquinho	Praça Presidente Castelo Branco 214A	RJ	0	77 228 667	Imperio Country Rações Ltda ME	(24) 2257-2616
16	Centro		12820-000	Areias	05.206.061/0001-23	Felipe	Travessa da Matriz S/N	SP	0	184 054 358 119	Felipe Camargo Pereira Me	(12) 3107-1104
17	Centro		12820-000	Areias	04.721.054/0001-05	Guilherme	Rua 15 de Novembro  8	SP	0	184 054 288 117	Maria Ilaine Davila Me	(12) 3107-1410
18	Rancho Grande		12850-000	Bananal	42.234.005/0001-05	Totty	Antiga Rod RioXSão Paulo S/n Km335	SP	0	198 004 942 117	Reginaves Industria e Comercio de Aves Ltda	(24) 3323-8696
19	Centro		27345-120	Barra Mansa	28.676.468/0001-10		Av Domingos Mariano 136	RJ	0	80 515 561	A Luzitana Ferragens Louças Ltda Me	(24) 3323-2686
